question,answer,dummy1,dummy2,dummy3
まばゆし,見苦しい,まぶしい,恥ずかしい,素晴らしい
はしたなし,決まり悪い,中途半端だ,無作法だ,激しい
あやし,卑しい,不思議だ,怪しい,粗末だ
わりなし,むちゃくちゃだ,理由がない,苦しい,仕方がない
あさまし,情けない,驚きあきれる,素晴らしい,恐ろしい
あながちなり,むやみだ,強引だ,穴がある,不運だ
いたし,はなはだしい,痛い,素晴らしい,苦しい
おぼゆ,似る,覚える,教える,思われる
しのぶ,懐かしむ,忍耐する,人目を避ける,隠す
ながむ,歌を詠む,眺める,物思いに沈む,見つめる
まどふ,激しく～する,迷う,惑わす,困る
おこたる,病気がよくなる,油断する,サボる,忘れる
やむ,そのまま終わる,止まる,治る,辞める
もてなす,振る舞う,もてなす,処理する,世話をする
あふ,結婚する,会う,似合う,戦う
よばふ,呼び続ける,求婚する,叫ぶ,追いかける
ときめく,寵愛を受ける,ドキドキする,流行する,期待する
おくる,先立たれる,遅れる,贈る,忘れる
おどろく,はっと気づく,目を覚ます,驚く,走る
おこたる,油断する,病気がよくなる,サボる,忘れる
ながむ,物思いに沈む,眺める,歌を詠む,歩く
ねんず,祈る,我慢する,寝る,考える
ありく,歩き回る,存在する,食べる,聞く
ゐる,連れる,座る,居る,入る
具す,備える,連れていく,結婚する,従う
さる,しかるべき,避ける,去る,来る
ものす,（何かを）する,物がある,行く,来る
ならふ,馴染む,慣れる,習う,倣う
やすらふ,立ち止まる,ためらう,休む,安らぐ
つつむ,遠慮する,包む,隠す,慎む
まねぶ,伝える,真似する,学ぶ,覚える
わぶ,～しかねる,嘆く,詫びる,困る
おぼす,お思いになる,覚える,おっしゃる,願われる
しろしめす,お治めになる,知っていらっしゃる,召し上がる,退出する
あそばす,演奏なさる,なさる,お書きになる,踊られる
聞こゆ,噂になる,申し上げる,聞こえる,理解できる
まゐる,召し上がる,参上する,差し上げる,お召しになる
おはす,～ていらっしゃる,いらっしゃる,行く,来る
奏す,（帝に）申し上げる,演奏する,報告する,歌う
啓す,（中宮等に）申し上げる,開く,案内する,敬う
かしづく,大切に育てる,かしこまる,掃除する,隠居する
いらふ,返事をする,嫌う,行く,笑う
さかし,こざかしい,賢い,気が利いている,丈夫だ
すきずきし,物好きだ,好きだ,風流だ,色好みだ
なまめかし,優美だ,生意気だ,若々しい,艶っぽい
いまめかし,現代風だ,今さらだ,華やかだ,派手だ
しどけなし,くつろいでいる,だらしない,怠慢だ,謙虚だ
つきづきし,似つかわしい,憑いている,好きだ,季節外れだ
なつかし,心惹かれる,懐かしい,優しい,親しみやすい
めやすし,見苦しくない,見やすい,目安だ,素晴らしい
やさし,恥ずかしい,優しい,優雅だ,けなげだ
らうらうじ,洗練されている,騒々しい,朗らかだ,丁寧だ
かたはらいたし,気の毒だ,恥ずかしい,苦々しい,傍にいたい
さうざうし,物足りない,騒々しい,寂しい,恐ろしい
をかし,素晴らしい,おかしい,恐ろしい,趣がある
かなし,いとしい,悲しい,悔しい,寂しい
あやし,粗末だ,不思議だ,怪しい,卑しい
ありがたし,難しい,めったにない,感謝している,生きづらい
めでたし,すばらしい,おめでたい,珍しい,賢い
ゆかし,懐かしい,見たい・知りたい,行きたい,美しい
おぼつかなし,不安だ,はっきりしている,待ち遠しい,恐ろしい
あたらし,素晴らしい,惜しい,新しい,恐ろしい
いみじ,ひどい,はなはだしい,素晴らしい,嬉しい
わりなし,仕方がない,むちゃくちゃだ,理由がない,苦しい
あさまし,驚きあきれる,情けない,素晴らしい,恐ろしい
つれなし,変化がない,平然としている,冷淡だ,縁がない
さらなり,言うまでもない,更地だ,新しい,意外だ
あながちなり,むやみだ,強引だ,穴がある,不運だ
ねんごろなり,親しい,熱心だ,丁寧だ,穏やかだ
すずろなり,思いがけない,なんということもない,むやみだ,冷淡だ
むげなり,全く～ない,最低だ,むやみだ,無限だ
おろかなり,言葉では言い尽くせない,愚かだ,未熟だ,いい加減だ
けしかなり,素晴らしい,異様だ,けしからん,恐ろしい
うへ,北の方,天皇,上の方,御座所
おほやけ,帝,朝廷,公共,公共の場
うち,帝,宮中,内側,心の中
きは,程度,身分,端,際
しるし,土地の所有,効き目,兆候,証拠
ことわり,説明,道理,理由,分別
たより,手紙,機会,頼み,縁故
ついで,続き,順序,機会,序文
沙汰,訴訟,処置,命令,噂
消息,様子,手紙,訪問,案内
ほど,身分,時,距離,程度
あからめ,わき見,赤い目,隠し事,嘘
あさまし,情けない,驚きあきれる,素晴らしい,恐ろしい
あそび,詩歌管弦,散歩,かくれんぼ,狩り
あだなり,はかない,浮気だ,無駄だ,突然だ
あたらし,惜しい,新しい,素晴らしい,恐ろしい
あぢきなし,おもしろくない,味がない,忙しい,苦しい
あてなり,高貴だ,当てがある,丁寧だ,上手だ
あながちなり,むやみだ,強引だ,穴がある,不運だ
あふ,結婚する,会う,似合う,戦う
あやし,卑しい,不思議だ,怪しい,粗末だ
あやにくなり,意地が悪い,あいにくだ,突然だ,激しい
あらまほし,理想的だ,現実的だ,荒々しい,珍しい
あり,生きている,ある,存在する,～している
ありき,外出,歩くこと,過去,記録
ありく,動き回る,存在する,食べる,聞く
ありがたし,めったにない,感謝している,難しい,生きづらい
いうなり,優雅だ,言うべきだ,有名だ,勇敢だ
いかが,どうして～か（反語）,どのように,良い,もし
いかに,さぞ,どのように,なぜ,もし
いかめし,荘厳だ,激しい,厳しい,恐ろしい
いぎたなし,寝坊だ,見苦しい,汚い,醜い
いさ,さあ、どうかな,いいえ,はい,もしかして
いざ,さあ（誘い）,いざという時,行こう,もし
いそぎ,準備,急行,忙しさ,祭事
いたづらなり,無駄だ,悪戯だ,退屈だ,寂しい
いつく,大切に育てる,凍りつく,斎き祀る,落ち着く
いつしか,早く（～したい）,いつのまにか,いつでも,決して
いとはし,嫌だ,気の毒だ,愛おしい,恐ろしい
いとほし,気の毒だ,愛おしい,嫌だ,恐ろしい
いはけなし,子供っぽい,言い訳がましい,恐ろしい,情けない
いふかひなし,どうしようもない,言うことがない,情けない,言葉にできない
いまいまし,不吉だ,今さらだ,忌々しい,恥ずかしい
いまめかし,現代風だ,今さらだ,華やかだ,派手だ
いみじ,はなはだしい,素晴らしい,ひどい,嬉しい
いらふ,返事をする,嫌う,行く,笑う
うしろめたし,不安だ,後ろめたい,秘密だ,恥ずかしい
うしろやすし,安心だ,後ろに安い,簡単だ,裕福だ
うたて,いやなことに,歌を,突然に,ますます
うち,帝,宮中,内側,心の中
うちつけなり,突然だ,ぶつける,露骨だ,軽率だ
うつくし,かわいい,美しい,立派だ,珍しい
うつろふ,色あせる,移動する,変わる,枯れる
うとし,疎遠だ,疎い,嫌いだ,怖い
おくる,先立たれる,遅れる,贈る,忘れる
おこたる,病気がよくなる,油断する,サボる,忘れる
おこなひ,仏道修行,実行,振る舞い,遊び
おとなし,分別がある,静かだ,幼稚だ,大人びている
おどろおどろし,大げさだ,恐ろしい,騒々しい,気味が悪い
おどろく,はっと気づく,目を覚ます,驚く,走る
おのづから,たまたま,自然に,もしかして,自分で
おぼおぼし,はっきりしない,ぼんやりしている,素晴らしい,恐ろしい
おぼえ,寵愛,記憶,評判,予感
おぼつかなし,じれったい,不安だ,はっきりしない,恐ろしい
おぼゆ,似る,思い出す,思われる,覚える
おぼろげなり,普通だ,ぼんやりしている,格別だ,愚かだ
おもしろし,すばらしい,おかしい,趣がある,明るい
おもて,顔,表面,表情,面目
およすぐ,大人になる,成長する,似る,及ぶ
おろかなり,言葉では言い尽くせない,愚かだ,未熟だ,いい加減だ
おはす,いらっしゃる,行く,来る,～ていらっしゃる
おぼす,お思いになる,覚える,おっしゃる,願われる
おほせらる,おっしゃる,命令なさる,褒められる,お思いになる
かしこし,恐れ多い,賢い,運がいい,激しい
かしづく,大切に育てる,かしこまる,掃除する,隠居する
かたはらいたし,恥ずかしい,苦々しい,気の毒だ,傍にいたい
かたむ,守る,固める,決める,閉じ込める
かなし,いとしい,悲しい,悔しい,寂しい
かまへて,必ず,構えて,決して,まさか
からうじて,やっとのことで,辛そうに,決して,急いで
きこしめす,お聞きになる,召し上がる,お治めになる,申し上げる
きこゆ,申し上げる,聞こえる,噂になる,理解できる
けしからぬ,異様な,けしからん,素晴らしい,恐ろしい
けしき,様子,風景,機愛,気配
げに,本当に,まるで,決して,おそらく
こうず,疲れる,困る,凍る,降る
ここら,たくさん,ここらへん,少し,非常に
こころうし,つらい,心細い,情けない,嫌いだ
こころぐるし,気の毒だ,つらい,心配だ,苦しい
こころもとなし,待ち遠しい,不安だ,はっきりしない,落ち着かない
こころゆく,満足する,心が行く,散歩する,諦める
こごと,愚痴,悪口,独り言,小言
ことわり,道理,理由,分別,説明
ごらんず,御覧になる,お会いになる,お見せになる,お思いになる
さうざうし,物足りない,騒々しい,寂しい,恐ろしい
さうなし,二つとない,左右がない,躊躇しない,簡単だ
さかし,こざかしい,賢い,気が利いている,丈夫だ
さすがに,そうはいってもやはり,流石に,期待通りに,案の定
さて,そのまま,そして,さて,それで
さはる,差し支える,触る,邪魔する,障子
さらなり,言うまでもない,更地だ,新しい,意外だ
さる,しかるべき,避ける,去る,来る
さわがし,忙しい,騒がしい,激しい,落ち着かない
しか,そのように,鹿,確かに,しかし
しおたる,涙で袖が濡れる,塩を塗る,泳ぐ,料理する
しげし,多い,茂っている,重い,激しい
したたむ,整理する,準備する,食べる,書く
しどけなし,くつろいでいる,だらしない,怠慢だ,謙虚だ
しのぶ,人目を避ける,忍耐する,懐かしむ,隠す
しろしめす,お治めになる,知っていらっしゃる,召し上がる,退出する
しるし,はっきりしている,効き目,兆候,証拠
